prop_price,prop_title,prop_location,prop_size
"35,175 OMR",107 m2 2 Bedrooms Villa for Sale in Al Sharqiya Al Mudaibi,"Al Sharqiya, Al Mudaibi",107 m2 2 Bedrooms Villa for Sale in Al Sharqiya Al Mudaibi
"35,175 OMR",107 m2 2 Bedrooms Villa for Sale in Al Sharqiya Al Kamil and Al Waafi,"Al Sharqiya, Al Kamil and Al Waafi",107 m2 2 Bedrooms Villa for Sale in Al Sharqiya Al Kamil and Al Waafi
"52,000 OMR",Residential Land for Sale in Muscat Ansab,"Muscat, Ansab",Residential Land for Sale in Muscat Ansab
"51,000 OMR",Residential Land for Sale in Muscat Bosher,"Muscat, Bosher",Residential Land for Sale in Muscat Bosher
"49,000 OMR",400 m2 4 Bedrooms Townhouse for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",400 m2 4 Bedrooms Townhouse for Sale in Muscat Al Maabilah
"6,500 OMR",3000 m2 3 Bedrooms Townhouse for Sale in Muscat Al Jafnayn,"Muscat, Al Jafnayn",3000 m2 3 Bedrooms Townhouse for Sale in Muscat Al Jafnayn
"46,000 OMR",100 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba,"Muscat, Azaiba",100 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba
"4,000 OMR",Pakistani Hotel,"Al Sharqiya, Al Kamil and Al Waafi",Pakistani Hotel
"13,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"43,000 OMR",93 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba,"Muscat, Azaiba",93 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba
"67,000 OMR",70 m2 1 Bedroom Apartments for Sale in Muscat Muscat Hills,"Muscat, Muscat Hills",70 m2 1 Bedroom Apartments for Sale in Muscat Muscat Hills
"45,000 OMR",100 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba,"Muscat, Azaiba",100 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba
"30,500 OMR",Residential Land for Sale in Muscat Ansab,"Muscat, Ansab",Residential Land for Sale in Muscat Ansab
"9,500 OMR",Residential Land for Sale in Al Dakhiliya Bahla,"Al Dakhiliya, Bahla",Residential Land for Sale in Al Dakhiliya Bahla
"46,000 OMR",100 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba,"Muscat, Azaiba",100 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba
"165,000 OMR",Building for Sale in Muscat Bosher,"Muscat, Bosher",Building for Sale in Muscat Bosher
"30,500 OMR",Residential Land for Sale in Muscat Seeb,"Muscat, Seeb",Residential Land for Sale in Muscat Seeb
"17,000 OMR",Residential Land for Sale in Al Batinah Al 'Awabi,"Al Batinah, Al 'Awabi",Residential Land for Sale in Al Batinah Al 'Awabi
"30,500 OMR",Residential Land for Sale in Muscat Madinat As Sultan Qaboos,"Muscat, Madinat As Sultan Qaboos",Residential Land for Sale in Muscat Madinat As Sultan Qaboos
"30,500 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"30,500 OMR",Residential Land for Sale in Muscat Manumah,"Muscat, Manumah",Residential Land for Sale in Muscat Manumah
"30,500 OMR",Residential Land for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",Residential Land for Sale in Al Batinah Al Rumais
"92,000 OMR",Residential Land for Sale in Muscat Al Khoud,"Muscat, Al Khoud",Residential Land for Sale in Muscat Al Khoud
"30,500 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"6,000 OMR",Sila Boutique,"Al Dakhiliya, Manah",Sila Boutique
"46,000 OMR",100 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba,"Muscat, Azaiba",100 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba
"43,000 OMR",93 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba,"Muscat, Azaiba",93 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba
"21,500 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"11,800 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"46,000 OMR",100 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba,"Muscat, Azaiba",100 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba
"10,900 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"45,000 OMR",100 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba,"Muscat, Azaiba",100 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba
"42,000 OMR",Residential Land for Sale in Muscat Bosher,"Muscat, Bosher",Residential Land for Sale in Muscat Bosher
"26,500 OMR",Residential Land for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",Residential Land for Sale in Al Batinah Al Rumais
"28,000 OMR","فرصه للبيع او الإيجار في الموالح الجنوبية , بقرب مبنى جهاز الضرايب ( عمانتل القديم )","Muscat, Al Mawaleh","فرصه للبيع او الإيجار في الموالح الجنوبية , بقرب مبنى جهاز الضرايب ( عمانتل القديم )"
"18,000 OMR",Residential Land for Sale in Muscat Other,"Muscat, Other",Residential Land for Sale in Muscat Other
"19,000 OMR",Residential Land for Sale in Muscat Other,"Muscat, Other",Residential Land for Sale in Muscat Other
"8,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"63,000 OMR",300 m2 5 Bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",300 m2 5 Bedrooms Villa for Sale in Muscat Amerat
"12,500 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"14,000 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"7,000 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"7,500 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"75,000 OMR",3 Bedrooms Farms for Sale in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",3 Bedrooms Farms for Sale in Al Dakhiliya Sumail
"69,000 OMR",2 Bedrooms Farms for Sale in Al Batinah Barka,"Al Batinah, Barka",2 Bedrooms Farms for Sale in Al Batinah Barka
"78,000 OMR",320 m2 4 Bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",320 m2 4 Bedrooms Villa for Sale in Muscat Al Maabilah
"90,000 OMR",Farm Land for Sale in Al Batinah Saham,"Al Batinah, Saham",Farm Land for Sale in Al Batinah Saham
"1,200 OMR",حضانة أطفال للبيع,"Muscat, Al Maabilah",حضانة أطفال للبيع
"52,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"35,175 OMR",107 m2 2 Bedrooms Villa for Sale in Al Sharqiya Al Qabil,"Al Sharqiya, Al Qabil",107 m2 2 Bedrooms Villa for Sale in Al Sharqiya Al Qabil
"35,175 OMR",107 m2 2 Bedrooms Villa for Sale in Al Sharqiya Ibra,"Al Sharqiya, Ibra",107 m2 2 Bedrooms Villa for Sale in Al Sharqiya Ibra
"165,000 OMR",Building for Sale in Al Sharqiya Bidiya,"Al Sharqiya, Bidiya",Building for Sale in Al Sharqiya Bidiya
"14,900 OMR",Residential Land for Sale in Muscat Seeb,"Muscat, Seeb",Residential Land for Sale in Muscat Seeb
"80,000 OMR",Commercial Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Commercial Land for Sale in Muscat Al Maabilah
"35,000 OMR",183 m2 3 Bedrooms Townhouse for Sale in Al Batinah Rustaq,"Al Batinah, Rustaq",183 m2 3 Bedrooms Townhouse for Sale in Al Batinah Rustaq
"6,000 OMR",Residential Land for Sale in Al Dakhiliya Izki,"Al Dakhiliya, Izki",Residential Land for Sale in Al Dakhiliya Izki
"165,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"215,000 OMR",414 m2 More than 6 bedrooms Villa for Sale in Muscat Bosher,"Muscat, Bosher",414 m2 More than 6 bedrooms Villa for Sale in Muscat Bosher
"35,000 OMR",80 m2 1 Bedroom Apartments for Sale in Muscat Al-Hail,"Muscat, Al-Hail",80 m2 1 Bedroom Apartments for Sale in Muscat Al-Hail
"165,000 OMR",Building for Sale in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",Building for Sale in Al Dakhiliya Nizwa
"10,600 OMR",Residential Land for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",Residential Land for Sale in Al Batinah Suwaiq
"20,500 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"120,000 OMR",Commercial Land for Sale in Muscat Al Khoud,"Muscat, Al Khoud",Commercial Land for Sale in Muscat Al Khoud
"900,000 OMR",Building for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Building for Sale in Muscat Al Maabilah
"16,000 OMR",فرصة ذهبية لأصحاب المشاريع – مخبز متكامل جاهز للتنازل في موقع حيوي بولاية صور,"Al Sharqiya, Sur",فرصة ذهبية لأصحاب المشاريع – مخبز متكامل جاهز للتنازل في موقع حيوي بولاية صور
"57,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"10,800 OMR","حقق حلمك مع محمد الرواحي وتملك محلك التجاري على اول خط رئيسي في ولاية بركاء ب10,800 الف","Muscat, Qurm","حقق حلمك مع محمد الرواحي وتملك محلك التجاري على اول خط رئيسي في ولاية بركاء ب10,800 الف"
"5,600 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"28,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"8,000 OMR",Residential Land for Sale in Al Dhahirah Yunqul,"Al Dhahirah, Yunqul",Residential Land for Sale in Al Dhahirah Yunqul
"150,000 OMR",230 m2 4 Bedrooms Townhouse for Sale in Muscat Amerat,"Muscat, Amerat",230 m2 4 Bedrooms Townhouse for Sale in Muscat Amerat
"24,000 OMR",100 m2 2 Bedrooms Apartments for Sale in Muscat Al Khoud,"Muscat, Al Khoud",100 m2 2 Bedrooms Apartments for Sale in Muscat Al Khoud
"86,000 OMR",Residential Land for Sale in Muscat Seeb,"Muscat, Seeb",Residential Land for Sale in Muscat Seeb
"85,000 OMR",460 m2 More than 6 bedrooms Villa for Sale in Al Sharqiya Al Kamil and Al Waafi,"Al Sharqiya, Al Kamil and Al Waafi",460 m2 More than 6 bedrooms Villa for Sale in Al Sharqiya Al Kamil and Al Waafi
400 OMR,للبيع محل حلاقة متكامل في ستي سنتر القرم بسعر مميز / Barber shop for sale,"Muscat, Qurm",للبيع محل حلاقة متكامل في ستي سنتر القرم بسعر مميز / Barber shop for sale
"60,000 OMR",242 m2 4 Bedrooms Villa for Sale in Dhofar Salala,"Dhofar, Salala",242 m2 4 Bedrooms Villa for Sale in Dhofar Salala
"130,000 OMR",300 m2 More than 6 bedrooms Townhouse for Sale in Al Batinah Sohar,"Al Batinah, Sohar",300 m2 More than 6 bedrooms Townhouse for Sale in Al Batinah Sohar
"21,000 OMR",Residential Land for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",Residential Land for Sale in Al Batinah Al Rumais
"80,000 OMR",Residential Land for Sale in Muscat Bosher,"Muscat, Bosher",Residential Land for Sale in Muscat Bosher
"12,500 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"85,000 OMR",100 m2 2 Bedrooms Apartments for Sale in Dhofar Salala,"Dhofar, Salala",100 m2 2 Bedrooms Apartments for Sale in Dhofar Salala
"62,000 OMR",Industrial Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Industrial Land for Sale in Al Batinah Barka
"245,000 OMR",139 m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,"Muscat, Al Mouj",139 m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj
"720,000 OMR",Luxury Villa for Sale /Almouj muscat/freehold,"Muscat, Al Mouj",Luxury Villa for Sale /Almouj muscat/freehold
"150,000 OMR",119 m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,"Muscat, Al Mouj",119 m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj
"128,000 OMR",76 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj,"Muscat, Al Mouj",76 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj
"115,000 OMR",159 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj,"Muscat, Al Mouj",159 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj
"605,000 OMR",villa for sale ا under construction اSafe investment ا free hold  ا Long-term installments,"Muscat, Al Mouj",villa for sale ا under construction اSafe investment ا free hold  ا Long-term installments
"37,000 OMR",92 m2 2 Bedrooms Apartments for Sale in Muscat Ghala,"Muscat, Ghala",92 m2 2 Bedrooms Apartments for Sale in Muscat Ghala
"58,000 OMR",544 m2 More than 6 bedrooms Villa for Sale in Al Sharqiya Al Mudaibi,"Al Sharqiya, Al Mudaibi",544 m2 More than 6 bedrooms Villa for Sale in Al Sharqiya Al Mudaibi
"7,200 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
800 OMR,مغسلة تنظيف وتلميع السيارات للبيع,"Al Dakhiliya, Nizwa",مغسلة تنظيف وتلميع السيارات للبيع
"180,000 OMR",Commercial Land for Sale in Al Dakhiliya Bidbid,"Al Dakhiliya, Bidbid",Commercial Land for Sale in Al Dakhiliya Bidbid
"46,000 OMR",78 m2 1 Bedroom Apartments for Sale in Muscat Bosher,"Muscat, Bosher",78 m2 1 Bedroom Apartments for Sale in Muscat Bosher
"41,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"40,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"15,500 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"21,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"5,500 OMR",Clinic Lisence only for sale,"Muscat, Ghubrah",Clinic Lisence only for sale
"10,000 OMR","بيع محل ملحمة لبيع اللحوم الطازجه والمجمدة والدواجن مع العامل, مجرد ناشر تواصلوا مع الرقم في الوصف","Al Dhahirah, Ibri","بيع محل ملحمة لبيع اللحوم الطازجه والمجمدة والدواجن مع العامل, مجرد ناشر تواصلوا مع الرقم في الوصف"
"19,500 OMR",Residential Land for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",Residential Land for Sale in Al Batinah Al Rumais
"37,000 OMR",Residential Land for Sale in Muscat Al-Hail,"Muscat, Al-Hail",Residential Land for Sale in Muscat Al-Hail
"32,500 OMR",Residential Land for Sale in Muscat Seeb,"Muscat, Seeb",Residential Land for Sale in Muscat Seeb
"20,500 OMR",Residential Land for Sale in Muscat Ansab,"Muscat, Ansab",Residential Land for Sale in Muscat Ansab
"14,900 OMR",Residential Land for Sale in Muscat Manumah,"Muscat, Manumah",Residential Land for Sale in Muscat Manumah
"80,000 OMR",Commercial Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Commercial Land for Sale in Muscat Al Maabilah
"165,000 OMR",Farm Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Farm Land for Sale in Al Batinah Barka
"22,000 OMR",Farm Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Farm Land for Sale in Al Batinah Al Masnaah
"290,000 OMR",Commercial Land for Sale in Muscat Al Khuwair,"Muscat, Al Khuwair",Commercial Land for Sale in Muscat Al Khuwair
"1,500,000 OMR",Commercial Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Commercial Land for Sale in Al Batinah Barka
"270,000 OMR",745 m2 More than 6 bedrooms Townhouse for Sale in Muscat Seeb,"Muscat, Seeb",745 m2 More than 6 bedrooms Townhouse for Sale in Muscat Seeb
"550,000 OMR",356 m2 3 Bedrooms Villa for Sale in Muscat Al Mouj,"Muscat, Al Mouj",356 m2 3 Bedrooms Villa for Sale in Muscat Al Mouj
"95,000 OMR",101 m2 2 Bedrooms Apartments for Sale in Muscat Muscat Hills,"Muscat, Muscat Hills",101 m2 2 Bedrooms Apartments for Sale in Muscat Muscat Hills
"3,000 OMR",Residential Land for Sale in Dhofar Shalim and The Hallaniyat Island,"Dhofar, Shalim and The Hallaniyat Island",Residential Land for Sale in Dhofar Shalim and The Hallaniyat Island
"14,900 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"9,000 OMR",Residential Land for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",Residential Land for Sale in Al Batinah Suwaiq
"3,600 OMR",Residential Land for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",Residential Land for Sale in Al Batinah Suwaiq
"10,000 OMR",Residential Land for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",Residential Land for Sale in Al Batinah Suwaiq
"14,900 OMR",Residential Land for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",Residential Land for Sale in Al Batinah Al Rumais
"4,200 OMR","good conditions for the shop and good prices, are you want to buy a shop come meet for me","Muscat, Amerat","good conditions for the shop and good prices, are you want to buy a shop come meet for me"
"3,100 OMR",Residential Land for Sale in Al Batinah Saham,"Al Batinah, Saham",Residential Land for Sale in Al Batinah Saham
"120,000 OMR",5 Bedrooms Farms for Sale in Muscat Halban,"Muscat, Halban",5 Bedrooms Farms for Sale in Muscat Halban
"72,660 OMR",105 m2 2 Bedrooms Apartments for Sale in Muscat Seeb,"Muscat, Seeb",105 m2 2 Bedrooms Apartments for Sale in Muscat Seeb
"151,788 OMR",Luxury Living Redefined: Luxe 2 BHKs with uninterrupted Golf views. FREEHOLD FOR ALL NATIONALITIES.,"Muscat, Muscat Hills",Luxury Living Redefined: Luxe 2 BHKs with uninterrupted Golf views. FREEHOLD FOR ALL NATIONALITIES.
"3,200 OMR",محل بيع وإصلاح الأجهزة الإلكترونية و مستلزماتها -فرصة استثمارية رائعة! محل مجهز بالكامل,"Muscat, Amerat",محل بيع وإصلاح الأجهزة الإلكترونية و مستلزماتها -فرصة استثمارية رائعة! محل مجهز بالكامل
"234,125 OMR",Refined Luxury: Elegant 3BHK with Golf & Pool Views  Freehold for All Nationalities,"Muscat, Muscat Hills",Refined Luxury: Elegant 3BHK with Golf & Pool Views  Freehold for All Nationalities
"12,500 OMR",Residential Land for Sale in Al Sharqiya Masira,"Al Sharqiya, Masira",Residential Land for Sale in Al Sharqiya Masira
"20,500 OMR",Residential Land for Sale in Muscat Manumah,"Muscat, Manumah",Residential Land for Sale in Muscat Manumah
"45,000 OMR",250 m2 4 Bedrooms Townhouse for Sale in Al Batinah Rustaq,"Al Batinah, Rustaq",250 m2 4 Bedrooms Townhouse for Sale in Al Batinah Rustaq
"38,000 OMR",54 m2 1 Bedroom Apartments for Sale in Muscat Azaiba,"Muscat, Azaiba",54 m2 1 Bedroom Apartments for Sale in Muscat Azaiba
"80,000 OMR",Residential Land for Sale in Muscat Darsait,"Muscat, Darsait",Residential Land for Sale in Muscat Darsait
"33,000 OMR",124 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",124 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah
"31,000 OMR",مكتب للبيع شبه جاهز في موقع حيوي وارقى التشطيبات و المميزات  وعائد شهري مضمون,"Muscat, Ghala",مكتب للبيع شبه جاهز في موقع حيوي وارقى التشطيبات و المميزات  وعائد شهري مضمون
"90,000 OMR",Farms for Sale in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",Farms for Sale in Al Dakhiliya Sumail
"20,500 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"10,800 OMR",Commercial Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Commercial Land for Sale in Al Batinah Barka
"10,800 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"10,800 OMR",Residential Land for Sale in Muscat Ansab,"Muscat, Ansab",Residential Land for Sale in Muscat Ansab
"10,800 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"10,800 OMR",Residential Land for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",Residential Land for Sale in Al Batinah Al Rumais
"28,226 OMR",لعشاق تملك المحلات التجارية في بركاء صار فيك تتملك محلك على اول خط رئيسي من شارع السلطان قابوس,"Muscat, Al Khuwair",لعشاق تملك المحلات التجارية في بركاء صار فيك تتملك محلك على اول خط رئيسي من شارع السلطان قابوس
"100,000 OMR",370 m2 5 Bedrooms Villa for Sale in Muscat Al-Hail,"Muscat, Al-Hail",370 m2 5 Bedrooms Villa for Sale in Muscat Al-Hail
"17,316 OMR",ولأول مرة وبشكل حصري صار فيك تتملك محلك التجاري على اول خط رئيسي في ولاية بركاء مع محمد الرواحي,"Muscat, Al-Hail",ولأول مرة وبشكل حصري صار فيك تتملك محلك التجاري على اول خط رئيسي في ولاية بركاء مع محمد الرواحي
"50,000 OMR",محل بيع مواد غذائية وكماليات للبيع,"Muscat, Bosher",محل بيع مواد غذائية وكماليات للبيع
"10,800 OMR","واخيراً تملك محلك التجاري في أقوى سوق تجاري في ولاية بركاء على اول خط رئيسي ب 10,800 الف","Muscat, Bosher","واخيراً تملك محلك التجاري في أقوى سوق تجاري في ولاية بركاء على اول خط رئيسي ب 10,800 الف"
"50,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"2,000 OMR",محل فلاتر للتنازل  الحيل الجنوبية,"Muscat, Al-Hail",محل فلاتر للتنازل  الحيل الجنوبية
"165,000 OMR",Building for Sale in Al Wustaa Al Duqum,"Al Wustaa, Al Duqum",Building for Sale in Al Wustaa Al Duqum
"57,000 OMR",312 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",312 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah
"70,000 OMR",235 m2 4 Bedrooms Villa for Sale in Muscat Seeb,"Muscat, Seeb",235 m2 4 Bedrooms Villa for Sale in Muscat Seeb
"210,000 OMR",Mixed Use Land for Sale in Muscat Ruwi,"Muscat, Ruwi",Mixed Use Land for Sale in Muscat Ruwi
"6,800 OMR",Residential Land for Sale in Muscat Quriyat,"Muscat, Quriyat",Residential Land for Sale in Muscat Quriyat
"100,000 OMR",Mixed Use Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Mixed Use Land for Sale in Al Batinah Al Masnaah
"7,000 OMR",مطعم شاورما بالخوير جاهز وشامل للبيع المستعجل له من اول الشهر مغلق فقط,"Muscat, Al Khuwair",مطعم شاورما بالخوير جاهز وشامل للبيع المستعجل له من اول الشهر مغلق فقط
"52,000 OMR",100 m2 2 Bedrooms Apartments for Sale in Muscat Bosher,"Muscat, Bosher",100 m2 2 Bedrooms Apartments for Sale in Muscat Bosher
"50,000 OMR",302 m2 5 Bedrooms Townhouse for Sale in Al Batinah Saham,"Al Batinah, Saham",302 m2 5 Bedrooms Townhouse for Sale in Al Batinah Saham
"8,000 OMR",بيع او  الايجار مطعم ومقهى  المطعم ف موقع ممتاز  الاشخرة السعر قابل للتفاوض,"Al Sharqiya, Ja'alan Bani Bu Ali",بيع او  الايجار مطعم ومقهى  المطعم ف موقع ممتاز  الاشخرة السعر قابل للتفاوض
"14,000 OMR",Residential Land for Sale in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",Residential Land for Sale in Al Dakhiliya Sumail
"128,000 OMR",866 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",866 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah
"55,000 OMR",318 m2 3 Bedrooms Townhouse for Sale in Al Batinah Wadi Al Ma'awal,"Al Batinah, Wadi Al Ma'awal",318 m2 3 Bedrooms Townhouse for Sale in Al Batinah Wadi Al Ma'awal
"45,000 OMR",Residential Land for Sale in Al Dakhiliya Bahla,"Al Dakhiliya, Bahla",Residential Land for Sale in Al Dakhiliya Bahla
"10,500 OMR",Restaurant for sale,"Dhofar, Sadah",Restaurant for sale
"53,000 OMR",235 m2 5 Bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",235 m2 5 Bedrooms Villa for Sale in Muscat Amerat
"185,000 OMR",322 m2 More than 6 bedrooms Villa for Sale in Muscat Bosher,"Muscat, Bosher",322 m2 More than 6 bedrooms Villa for Sale in Muscat Bosher
"40,000 OMR",300 m2 3 Bedrooms Villa for Sale in Al Dakhiliya Izki,"Al Dakhiliya, Izki",300 m2 3 Bedrooms Villa for Sale in Al Dakhiliya Izki
"75,000 OMR",Trump Golf Residential plot of land for sale 500 square meters,"Muscat, Yiti",Trump Golf Residential plot of land for sale 500 square meters
"250,000 OMR",600 m2 More than 6 bedrooms Townhouse for Sale in Muscat Azaiba,"Muscat, Azaiba",600 m2 More than 6 bedrooms Townhouse for Sale in Muscat Azaiba
"19,000 OMR",Residential Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Residential Land for Sale in Al Batinah Sohar
"150,000 OMR",618 m2 More than 6 bedrooms Townhouse for Sale in Al Dakhiliya Bidbid,"Al Dakhiliya, Bidbid",618 m2 More than 6 bedrooms Townhouse for Sale in Al Dakhiliya Bidbid
"19,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"21,000 OMR",70 m2 2 Bedrooms Apartments for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",70 m2 2 Bedrooms Apartments for Sale in Muscat Al Maabilah
"135,000 OMR",Residential Land for Sale in Muscat Bosher,"Muscat, Bosher",Residential Land for Sale in Muscat Bosher
"5,400 OMR",Residential Land for Sale in Al Dhahirah Ibri,"Al Dhahirah, Ibri",Residential Land for Sale in Al Dhahirah Ibri
"13,000 OMR",مطعم ومطبخ البريق المتلألأ للمأكولات العمانية واليمنية والتركية,"Al Sharqiya, Sinaw",مطعم ومطبخ البريق المتلألأ للمأكولات العمانية واليمنية والتركية
"204,000 OMR",Luxury Living Redefined: Luxe 3 BHKs with uninterrupted Golf views. FREEHOLD FOR ALL NATIONALITIES,"Muscat, Muscat Hills",Luxury Living Redefined: Luxe 3 BHKs with uninterrupted Golf views. FREEHOLD FOR ALL NATIONALITIES
"12,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"140,000 OMR",259 m2 3 Bedrooms Townhouse for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",259 m2 3 Bedrooms Townhouse for Sale in Muscat Al Maabilah
"8,000 OMR",Spare parts shop,"Muscat, Wadi Al Kabir",Spare parts shop
