prop_price,prop_title,prop_location,prop_size
"295,000 OMR",للبيع ارض صناعية مساحة 2000 متر تحتوي على ورشة ومكاتب وسكن عمال + سكن مستقل لمشرف ،جاهزة للتسليم  ،,"Muscat, Misfah",للبيع ارض صناعية مساحة 2000 متر تحتوي على ورشة ومكاتب وسكن عمال + سكن مستقل لمشرف ،جاهزة للتسليم  ،
"59,000 OMR",302 m2 5 Bedrooms Townhouse for Sale in Al Batinah Barka,"Al Batinah, Barka",302 m2 5 Bedrooms Townhouse for Sale in Al Batinah Barka
"9,900 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"32,500 OMR",83 m2 2 Bedrooms Apartments for Sale in Muscat Al Khoud,"Muscat, Al Khoud",83 m2 2 Bedrooms Apartments for Sale in Muscat Al Khoud
"24,500 OMR",61 m2 1 Bedroom Apartments for Sale in Muscat Azaiba,"Muscat, Azaiba",61 m2 1 Bedroom Apartments for Sale in Muscat Azaiba
"25,000 OMR",مطعم و مقهى لبناني كامل التجهيزات في موقع مميز في شارع الخوض شغال بمدخول جيد للبيع بسبب عدم التفرغ .,"Muscat, Al Khoud",مطعم و مقهى لبناني كامل التجهيزات في موقع مميز في شارع الخوض شغال بمدخول جيد للبيع بسبب عدم التفرغ .
"69,500 OMR",335 m2 5 Bedrooms Townhouse for Sale in Al Batinah Rustaq,"Al Batinah, Rustaq",335 m2 5 Bedrooms Townhouse for Sale in Al Batinah Rustaq
"21,500 OMR",Commercial Land for Sale in Muscat Amerat,"Muscat, Amerat",Commercial Land for Sale in Muscat Amerat
"37,600 OMR",2BHK للبيع شقة في الموالح  تشطيب فندقي  بأقساط بدون فوائد,"Muscat, Al Mawaleh",2BHK للبيع شقة في الموالح  تشطيب فندقي  بأقساط بدون فوائد
"30,000 OMR",66 m2 1 Bedroom Apartments for Sale in Muscat Bosher,"Muscat, Bosher",66 m2 1 Bedroom Apartments for Sale in Muscat Bosher
"46,500 OMR",102 m2 3 Bedrooms Apartments for Sale in Muscat Bosher,"Muscat, Bosher",102 m2 3 Bedrooms Apartments for Sale in Muscat Bosher
"79,900 OMR",138 m2 2 Bedrooms Apartments for Sale in Muscat Al Khuwair,"Muscat, Al Khuwair",138 m2 2 Bedrooms Apartments for Sale in Muscat Al Khuwair
"142,500 OMR",86 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj,"Muscat, Al Mouj",86 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj
"33,000 OMR",82 m2 2 Bedrooms Apartments for Sale in Muscat Ghala,"Muscat, Ghala",82 m2 2 Bedrooms Apartments for Sale in Muscat Ghala
"55,000 OMR",100 m2 2 Bedrooms Apartments for Sale in Muscat Ghala,"Muscat, Ghala",100 m2 2 Bedrooms Apartments for Sale in Muscat Ghala
"37,000 OMR",Commercial Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Commercial Land for Sale in Al Batinah Barka
"25,000 OMR",63 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",63 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh
"26,000 OMR",65 m2 1 Bedroom Apartments for Sale in Muscat Ghala,"Muscat, Ghala",65 m2 1 Bedroom Apartments for Sale in Muscat Ghala
"39,000 OMR",155 m2 4 Bedrooms Apartments for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",155 m2 4 Bedrooms Apartments for Sale in Muscat Al Maabilah
"20,500 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"95,000 OMR",215 m2 4 Bedrooms Villa for Sale in Muscat Misfah,"Muscat, Misfah",215 m2 4 Bedrooms Villa for Sale in Muscat Misfah
"86,000 OMR",Residential Land for Sale in Muscat Al Khoud,"Muscat, Al Khoud",Residential Land for Sale in Muscat Al Khoud
"53,000 OMR",108 m2 2 Bedrooms Apartments for Sale in Muscat Bosher,"Muscat, Bosher",108 m2 2 Bedrooms Apartments for Sale in Muscat Bosher
"26,000 OMR",65 m2 1 Bedroom Apartments for Sale in Muscat Ghala,"Muscat, Ghala",65 m2 1 Bedroom Apartments for Sale in Muscat Ghala
