prop_price,prop_title,prop_location,prop_size,number_room
"2,800,000",Villa,"The Wave (Almouj), Muscat","1,615 Sq. M.",6
"88,000",Apartment,"Ghala, Muscat",139 Sq. M.,2
"6,700",Residential Land,"Saham, Al Batinah","1,213 Sq. M.",not available
"20,500",Residential Land,"Sohar, Al Batinah",600 Sq. M.,not available
"149,695",Villa,"Al Maabilah, Muscat",249 Sq. M.,5
"50,000",Apartment,"Salalah, Dhofar",65 Sq. M.,1
"175,000",Villa,"Sultan Haitham City, Muscat",220 Sq. M.,3
"256,000",Villa,"Muscat Hills, Muscat",258 Sq. M.,5
"68,000",Apartment,"Al Sifah, Muscat",91 Sq. M.,1
"45,000",Apartment,"Al Sifah, Muscat",61 Sq. M.,not available
"135,000",Residential Land,"Al Maabilah, Muscat",400 Sq. M.,not available
"66,000",Villa,"Al Maabilah, Muscat",223 Sq. M.,3
"95,000",Residential Land,"Bosher, Muscat",439 Sq. M.,not available
"25,000",Villa,"Barka, Al Batinah",447 Sq. M.,3
"320,000",Apartment,"Qantab, Muscat",361 Sq. M.,3
"145,000",Residential Land,"Bosher, Muscat",783 Sq. M.,not available
"185,000",Villa,"Al Ghubrah, Muscat",475 Sq. M.,4
100,Residential Land,"Adam, Al Dakhiliya",700 Sq. M.,not available
"110,000",Apartment,"Al Sifah, Muscat",124 Sq. M.,2
"137,000",Villa,"Al Khoud, Muscat",420 Sq. M.,5
"204,000",Apartment,"Sultan Haitham City, Muscat",272 Sq. M.,4
"48,000",Residential Land,"Al Khaboura, Al Batinah","4,000 Sq. M.",not available
"125,000",Apartment,"The Wave (Almouj), Muscat",110 Sq. M.,1
"138,000",Apartment,"Qantab, Muscat",118 Sq. M.,1
"170,650",Villa,"Salalah, Dhofar",133 Sq. M.,2
"91,180",Apartment,"Qantab, Muscat",79 Sq. M.,1
"25,000",Apartment,"Al Amarat, Muscat",95 Sq. M.,2
"18,000",Residential Land,"Al Buraimi, Al Buraimi","1,283 Sq. M.",not available
"5,000",Residential Land,"Izki, Al Dakhiliya",600 Sq. M.,not available
"87,735",Apartment,"Al Seeb, Muscat",134 Sq. M.,2
"94,000",Apartment,"The Wave (Almouj), Muscat",90 Sq. M.,1
"80,000",Villa,"Al Khoud, Muscat",376 Sq. M.,5
"98,000",Apartment,"The Wave (Almouj), Muscat",84 Sq. M.,1
"80,000",Apartment,"The Wave (Almouj), Muscat",61 Sq. M.,1
"111,700",Villa,"Sultan Haitham City, Muscat",194 Sq. M.,3
"59,500",Apartment,"Muscat Hills, Muscat",74 Sq. M.,1
"58,000",Apartment,"Al Sifah, Muscat",76 Sq. M.,1
"227,700",Villa,"Al Maabilah, Muscat",444 Sq. M.,5
"90,085",Apartment,"Yiti, Muscat",66 Sq. M.,1
"146,000",Villa,"Bosher, Muscat",240 Sq. M.,7
"100,000",Villa,"Al Khoud, Muscat",300 Sq. M.,5
"78,000",Residential Land,"Nizwa, Al Dakhiliya",750 Sq. M.,not available
"143,000",Villa,"Al Khoud, Muscat",378 Sq. M.,5
"100,000",Residential Land,"Wadi Al Ma'awal, Al Batinah",600 Sq. M.,not available
"110,000",Apartment,"Sultan Haitham City, Muscat",147 Sq. M.,2
"75,000",Apartment,"Bosher, Muscat",103 Sq. M.,2
"115,000",Villa,"Ansab, Muscat",340 Sq. M.,5
"9,500",Residential Land,"Sumail, Al Dakhiliya",600 Sq. M.,not available
"200,000",Residential Land,"Al Khoud, Muscat",500 Sq. M.,not available
"8,500",Apartment,"Al Seeb, Muscat",44 Sq. M.,1
"75,000",Villa,"Bosher, Muscat",332 Sq. M.,7
"55,000",Villa,"Ibra, Al Sharqiya",300 Sq. M.,11
"55,000",Apartment,"Qurum, Muscat",94 Sq. M.,3
"335,850",Villa,"Salalah, Dhofar",243 Sq. M.,4
"20,500",Residential Land,"Barka, Al Batinah",589 Sq. M.,not available
"115,000",Residential Land,"Al Mawaleh, Muscat",600 Sq. M.,not available
"70,000",Residential Land,"Al Amarat, Muscat",666 Sq. M.,not available
"88,500",Apartment,"Muscat Hills, Muscat",111 Sq. M.,2
"58,000",Apartment,"Azaiba, Muscat",117 Sq. M.,2
"1,000",Residential Land,"Al Amarat, Muscat",600 Sq. M.,not available
"20,000",Apartment,"Barka, Al Batinah",156 Sq. M.,3
